image,noise_ratio,method,PSNR,SSIM,IEF
kodim05,0.6,DBRAMF W5×5,23.168040324632,0.8028753760938444,39.5536813245977
kodim05,0.6,DBRAMF W7×7,23.168040324632,0.8028753760938444,39.5536813245977
kodim05,0.7,DBRAMF W3×3,21.361706664378175,0.7100307204902103,30.413328391944894
kodim05,0.7,DBRAMF W5×5,21.361720562154403,0.7100316368698985,30.413425717222164
kodim05,0.7,DBRAMF W7×7,21.361720562154403,0.7100316368698985,30.413425717222164
kodim05,0.8,DBRAMF W3×3,19.319048689979073,0.5725798070548546,21.71150980878568
kodim05,0.8,DBRAMF W5×5,19.319048689979073,0.5725798070548546,21.71150980878568
kodim05,0.8,DBRAMF W7×7,19.319123165587744,0.5725907420188269,21.711882134900808
kodim05,0.9,DBRAMF W3×3,16.802126306230726,0.37711563620020255,13.67364483205652
kodim05,0.9,DBRAMF W5×5,16.802126306230726,0.37711563620020255,13.67364483205652
kodim05,0.9,DBRAMF W7×7,16.80222722971392,0.3771524528792114,13.673962590618174
kodim06,0.1,DBRAMF W3×3,32.416781878671166,0.9787914094233651,53.716977752827326
kodim06,0.1,DBRAMF W5×5,32.416781878671166,0.9787914094233651,53.716977752827326
kodim06,0.1,DBRAMF W7×7,32.416781878671166,0.9787914094233651,53.716977752827326
kodim06,0.2,DBRAMF W3×3,30.587786525423525,0.9556807530398413,70.11337378092895
kodim06,0.2,DBRAMF W5×5,30.587786525423525,0.9556807530398413,70.11337378092895
kodim06,0.2,DBRAMF W7×7,30.587786525423525,0.9556807530398413,70.11337378092895
kodim06,0.3,DBRAMF W3×3,28.998741078551674,0.9259413968118653,72.88525034587649
kodim06,0.3,DBRAMF W5×5,28.99894529135308,0.9259414196062186,72.888677617398
kodim06,0.3,DBRAMF W7×7,28.99894529135308,0.9259414196062186,72.888677617398
kodim06,0.4,DBRAMF W3×3,27.494748191627746,0.8881440224959847,68.8767087972565
kodim06,0.4,DBRAMF W5×5,27.49499080016487,0.8881441046386933,68.88055654227811
kodim06,0.4,DBRAMF W7×7,27.49499080016487,0.8881441046386933,68.88055654227811
kodim06,0.5,DBRAMF W3×3,26.129941186530058,0.8399652393402977,62.87011529526945
kodim06,0.5,DBRAMF W5×5,26.130118369553166,0.8399653214879711,62.87268031619258
kodim06,0.5,DBRAMF W7×7,26.130118369553166,0.8399653214879711,62.87268031619258
kodim06,0.6,DBRAMF W3×3,24.634094355765196,0.7763576020239329,53.44096934839505
kodim06,0.6,DBRAMF W5×5,24.63421991100531,0.7763577422421128,53.44251435783207
kodim06,0.6,DBRAMF W7×7,24.63421991100531,0.7763577422421128,53.44251435783207
kodim06,0.7,DBRAMF W3×3,23.24782659152344,0.6983186475426946,45.26650976865985
kodim06,0.7,DBRAMF W5×5,23.247925478611002,0.6983188435505359,45.26754048041497
kodim06,0.7,DBRAMF W7×7,23.247925478611002,0.6983188435505359,45.26754048041497
kodim06,0.8,DBRAMF W3×3,21.61334445114726,0.5987876213803476,35.540344302533185
kodim06,0.8,DBRAMF W5×5,21.61334445114726,0.5987876213803476,35.540344302533185
kodim06,0.8,DBRAMF W7×7,21.60397261350223,0.5987496911562896,35.463732872625755
kodim06,0.9,DBRAMF W3×3,18.984177533422635,0.468582696136186,21.80729833607571
kodim06,0.9,DBRAMF W5×5,18.984177533422635,0.468582696136186,21.80729833607571
kodim06,0.9,DBRAMF W7×7,18.97768192758612,0.46855094266023284,21.77470622608771
kodim07,0.1,DBRAMF W3×3,34.617049520750264,0.993725429199335,80.07376672430874
kodim07,0.1,DBRAMF W5×5,34.617049520750264,0.993725429199335,80.07376672430874
kodim07,0.1,DBRAMF W7×7,34.617049520750264,0.993725429199335,80.07376672430874
kodim07,0.2,DBRAMF W3×3,33.508664672877316,0.9863091327796949,123.63682755986329
kodim07,0.2,DBRAMF W5×5,33.508664672877316,0.9863091327796949,123.63682755986329
kodim07,0.2,DBRAMF W7×7,33.508664672877316,0.9863091327796949,123.63682755986329
kodim07,0.3,DBRAMF W3×3,32.30080200078608,0.9757129394835428,140.23434051313842
kodim07,0.3,DBRAMF W5×5,32.30084412268401,0.9757129722205931,140.23570064214505
kodim07,0.3,DBRAMF W7×7,32.30084412268401,0.9757129722205931,140.23570064214505
kodim07,0.4,DBRAMF W3×3,30.885051585895376,0.959656484574615,135.37020358414077
kodim07,0.4,DBRAMF W5×5,30.885101357118945,0.9596565637759424,135.3717549691008
kodim07,0.4,DBRAMF W7×7,30.885101357118945,0.9596565637759424,135.3717549691008
kodim07,0.5,DBRAMF W3×3,29.227188367390752,0.9345652839527634,115.63379424550268
kodim07,0.5,DBRAMF W5×5,29.22722234487392,0.9345653629607941,115.63469892212893
kodim07,0.5,DBRAMF W7×7,29.22722234487392,0.9345653629607941,115.63469892212893
kodim07,0.6,DBRAMF W3×3,27.42634268021595,0.8953272565623261,91.5981841369899
kodim07,0.6,DBRAMF W5×5,27.42636512451572,0.8953274181040619,91.59865751680505
kodim07,0.6,DBRAMF W7×7,27.42636512451572,0.8953274181040619,91.59865751680505
kodim07,0.7,DBRAMF W3×3,25.40527103526458,0.8321595085020168,66.9818636652575
kodim07,0.7,DBRAMF W5×5,25.405286130524416,0.8321597125262481,66.9820964820295
kodim07,0.7,DBRAMF W7×7,25.405286130524416,0.8321597125262481,66.9820964820295
kodim07,0.8,DBRAMF W3×3,23.20206386304331,0.7300041257898093,46.07510619252943
